Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
Profit and Loss,Income,,,,
Profit and Loss,Income,Revenue,,,
Profit and Loss,Income,Revenue,InStore,,
Profit and Loss,Income,Revenue,NonProfit,,
Profit and Loss,Income,Revenue,Partnerships,,
Profit and Loss,Income,Revenue,ProfessionalServices,,
Profit and Loss,Income,Revenue,Reimbursements,,
Profit and Loss,Income,Revenue,RentalIncome,,
Profit and Loss,Income,Revenue,Subscriptions,,
Profit and Loss,Other Income,AssetDisposals,,,
Profit and Loss,Other Income,CashBackRewards,,,
Profit and Loss,Other Income,Dividends,,,
Profit and Loss,Other Income,Grants,,,
Profit and Loss,Other Income,ExtraordinaryItems,,,
Profit and Loss,Other Income,FxGain,,,
Profit and Loss,Other Income,Interest,,,
Profit and Loss,Other Income,TaxesRefundsCredits,,,
Profit and Loss,Other Income,Unrealized Gain,,,
Profit and Loss,Expense,,,,
Profit and Loss,Expense,CostOfSales,,,
Profit and Loss,Expense,CostOfSales,FulfillmentLogistics,,
Profit and Loss,Expense,CostOfSales,Infrastructure,Hosting Services,
Profit and Loss,Expense,CostOfSales,Inventory,,
Profit and Loss,Expense,CostOfSales,ManufacturingProcess,,
Profit and Loss,Expense,CostOfSales,Marketing,,
Profit and Loss,Expense,CostOfSales,MerchantFees,,
Profit and Loss,Expense,CostOfSales,Personnel,Commissons,
Profit and Loss,Expense,CostOfSales,Personnel,Bonus,Retention Bonus
Profit and Loss,Expense,CostOfSales,Personnel,Salary,
Profit and Loss,Expense,CostOfSales,Personnel,,
Profit and Loss,Expense,CostOfSales,ProfessionalServices,,
Profit and Loss,Expense,CostOfSales,Royalties,,
Profit and Loss,Expense,CostOfSales,SoftwareData,,
Profit and Loss,Expense,Operating,,,
Profit and Loss,Expense,Operating,BankCharges,,
Profit and Loss,Expense,Operating,Infrastructure,Hosting,
Profit and Loss,Expense,Operating,Infrastructure,,
Profit and Loss,Expense,Operating,Leases,BuildingRentLeases,
Profit and Loss,Expense,Operating,Leases,EquipmentRentLeases,
Profit and Loss,Expense,Operating,Marketing,Direct,
Profit and Loss,Expense,Operating,Marketing,,
Profit and Loss,Expense,Operating,NonCash,Amortization,
Profit and Loss,Expense,Operating,NonCash,Depletion,
Profit and Loss,Expense,Operating,NonCash,Depreciation,
Profit and Loss,Expense,Operating,NonCash,EmployeeStockCompensation,
Profit and Loss,Expense,Operating,NonCash,RevaluationImpairment,
Profit and Loss,Expense,Operating,NonCash,,
Profit and Loss,Expense,Operating,Personnel,Consultants,
Profit and Loss,Expense,Operating,Personnel,Contractors,
Profit and Loss,Expense,Operating,Personnel,DirectorsCompensation,
Profit and Loss,Expense,Operating,Personnel,EmployeeBenefits,
Profit and Loss,Expense,Operating,Personnel,EmployeeTaxes,
Profit and Loss,Expense,Operating,Personnel,EmployeeWages,
Profit and Loss,Expense,Operating,Personnel,Pensions,
Profit and Loss,Expense,Operating,Personnel,,
Profit and Loss,Expense,Operating,Sponsor Fee,,
Profit and Loss,Expense,Operating,Property,,
Profit and Loss,Expense,Operating,ResearchDevelopment,,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Automobiles,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,BadDebtDoubtfulAccounts,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Chargebacks,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,ClientEntertainment,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,CommissionsExpense,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Distribution,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Insurance,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,PaymentProcessingFees,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,,
Profit and Loss,Expense,Operating,SoftwareData,,
Profit and Loss,Expense,Operating,SoftwareData,,
Profit and Loss,Expense,Operating,Travel,,
Profit and Loss,Expense,Operating,Utilities,,
Profit and Loss,Expense,NonOperating,,,
Profit and Loss,Expense,NonOperating,Dividends,,
Profit and Loss,Expense,NonOperating,Donations,,
Profit and Loss,Expense,NonOperating,Donations,,
Profit and Loss,Expense,NonOperating,LegalSettlements,,
Profit and Loss,Expense,NonOperating,FxLoss,,
Profit and Loss,Expense,NonOperating,Interest,CreditCardInterestPaid,
Profit and Loss,Expense,NonOperating,Interest,LoanInterestPaid,
Profit and Loss,Expense,NonOperating,Interest,,
Profit and Loss,Expense,NonOperating,Penalties,,
Profit and Loss,Expense,NonOperating,Restructuring,,
Profit and Loss,Expense,NonOperating,Taxes,CorporationTaxes,
Profit and Loss,Expense,NonOperating,Taxes,IncomeTaxes,
Profit and Loss,Expense,NonOperating,Taxes,SalesTaxes,
Profit and Loss,Expense,NonOperating,Taxes,ValueAddedTaxes,
Profit and Loss,Expense,NonOperating,Taxes,,
Profit and Loss,Expense,CostOfSales,Marketing,Direct,
Profit and Loss,Expense,CostOfSales,Marketing,Indirect,
Profit and Loss,Expense,Operating,Marketing,Direct,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,ProfessionalServices,
Profit and Loss,Expense,CostOfSales,Infrastructure,Infrastructure,
Balance Sheet,Asset,,,,
Balance Sheet,Asset,Current,,,
Balance Sheet,Asset,Current,AccruedDeferredAssets,AccruedRevenue,
Balance Sheet,Asset,Current,AccruedDeferredAssets,DeferredExpenses,
Balance Sheet,Asset,Current,AccruedDeferredAssets,PrepaidExpenses,
Balance Sheet,Asset,Current,AccruedDeferredAssets,,
Balance Sheet,Asset,Current,AllowanceDoubtfulAccounts,,
Balance Sheet,Asset,Current,Bank,BankTransfers,IntracompanyTransfers
Balance Sheet,Asset,Current,Bank,BankTransfers,RelatedPartyTransfers
Balance Sheet,Asset,Current,Bank,BankTransfers,ShareholderTransfers
Balance Sheet,Asset,Current,Bank,BankTransfers,
Balance Sheet,Asset,Current,Bank,Clearing,
Balance Sheet,Asset,Current,Bank,,
Balance Sheet,Asset,Current,CashEquivalents,Cryptocurrency,
Balance Sheet,Asset,Current,CashEquivalents,,
Balance Sheet,Asset,Current,Inventory,Obsolete,
Balance Sheet,Asset,Current,Inventory,FinishedGoods,
Balance Sheet,Asset,Current,Inventory,Merchandise,
Balance Sheet,Asset,Current,Inventory,RawMaterials,
Balance Sheet,Asset,Current,Inventory,WorkInProcess,
Balance Sheet,Asset,Current,Inventory,,
Balance Sheet,Asset,Current,Investments,,
Balance Sheet,Asset,Current,Receivables,AccountsReceivable,
Balance Sheet,Asset,Current,Receivables,NotesLoansReceivable,
Balance Sheet,Asset,Current,RelatedParties,EmployeeLoans,
Balance Sheet,Asset,Current,RelatedParties,IntercompanyReceivable,
Balance Sheet,Asset,Current,RelatedParties,ShareholderLoans,DirectorsLoans
Balance Sheet,Asset,Current,RelatedParties,ShareholderLoans,
Balance Sheet,Asset,Current,RestrictedFunds,ClientFunds,
Balance Sheet,Asset,Current,RestrictedFunds,,
Balance Sheet,Asset,Current,UndepositedFunds,,
Balance Sheet,Asset,NonCurrent,,,
Balance Sheet,Asset,NonCurrent,AccruedDeferredAssets,DeferredExpenses,
Balance Sheet,Asset,NonCurrent,AccruedDeferredAssets,PrepaidExpenses,
Balance Sheet,Asset,NonCurrent,AccruedDeferredAssets,,
Balance Sheet,Asset,NonCurrent,AccumulatedCostAllocation,Amortization,
Balance Sheet,Asset,NonCurrent,AccumulatedCostAllocation,Depletion,
Balance Sheet,Asset,NonCurrent,AccumulatedCostAllocation,Depreciation,
Balance Sheet,Asset,NonCurrent,AccumulatedCostAllocation,RevaluationImpairment,
Balance Sheet,Asset,NonCurrent,AccumulatedCostAllocation,,
Balance Sheet,Asset,NonCurrent,IntangibleAssets,AcquisitionsInProgress,
Balance Sheet,Asset,Current,Inventory,Packaging,
Balance Sheet,Asset,NonCurrent,IntangibleAssets,Goodwill,
Balance Sheet,Asset,NonCurrent,IntangibleAssets,,
Balance Sheet,Asset,NonCurrent,Investments,,
Balance Sheet,Asset,NonCurrent,Receivables,NotesLoansReceivable,
Balance Sheet,Asset,NonCurrent,Receivables,,
Balance Sheet,Asset,NonCurrent,RelatedParties,EmployeeLoans,
Balance Sheet,Asset,NonCurrent,RelatedParties,IntercompanyReceivable,
Balance Sheet,Asset,NonCurrent,RelatedParties,,
Balance Sheet,Asset,NonCurrent,TangibleAssets,AssetsUnderConstruction,
Balance Sheet,Asset,NonCurrent,TangibleAssets,Automobiles,
Balance Sheet,Asset,NonCurrent,TangibleAssets,CapitalLeases,
Balance Sheet,Asset,NonCurrent,TangibleAssets,EquipmentMachinery,
Balance Sheet,Asset,NonCurrent,TangibleAssets,FixturesFittings,
Balance Sheet,Asset,NonCurrent,TangibleAssets,LandBuildings,
Balance Sheet,Asset,NonCurrent,TangibleAssets,LandBuildingsImprovements,
Balance Sheet,Asset,Current,Receivables,,
Balance Sheet,Asset,NonCurrent,TangibleAssets,,
Balance Sheet,Liability,,,,
Balance Sheet,Liability,Current,,,
Balance Sheet,Liability,Current,AccountsPayable,,
Balance Sheet,Liability,Current,AccruedLiabilities,DeferredRevenue,
Balance Sheet,Liability,Current,AccruedLiabilities,DividendsPayable,
Balance Sheet,Liability,Current,AccruedLiabilities,,
Balance Sheet,Liability,Current,Debt,CapitalLeasesObligations,Investments
Balance Sheet,Liability,Current,Debt,CapitalLeasesObligations,Repayments
Balance Sheet,Liability,Current,Debt,CapitalLeasesObligations,
Balance Sheet,Liability,Current,Debt,CreditCards,Purchases
Balance Sheet,Liability,Current,Debt,CreditCards,Repayments
Balance Sheet,Liability,Current,Debt,CreditCards,
Balance Sheet,Liability,Current,Debt,FinanceLeasesObligations,Investments
Balance Sheet,Liability,Current,Debt,FinanceLeasesObligations,Repayments
Balance Sheet,Liability,Current,Debt,FinanceLeasesObligations,
Balance Sheet,Liability,Current,Debt,LoansPayable,Current Portion of Long-Term Debt
