Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
Profit and Loss,Income,,,,
Profit and Loss,Income,Revenue,,,
Profit and Loss,Income,Revenue,Advertising,,
Profit and Loss,Income,Revenue,CommissionsReferrals,,
Profit and Loss,Income,Revenue,Distribution,PaymentProcessing,
Profit and Loss,Income,Revenue,Distribution,ShippingCharges,
Profit and Loss,Income,Revenue,Distribution,,
Profit and Loss,Income,Revenue,InStore,,
Profit and Loss,Income,Revenue,Licensing,,
Profit and Loss,Income,Revenue,Markups,,
Profit and Loss,Income,Revenue,NonProfit,,
Profit and Loss,Income,Revenue,Online,,
Profit and Loss,Income,Revenue,Partnerships,,
Profit and Loss,Income,Revenue,ProfessionalServices,,
Profit and Loss,Income,Revenue,Reimbursements,BillableExpenses,
Profit and Loss,Income,Revenue,Reimbursements,SupplierRefunds,
Profit and Loss,Income,Revenue,RentalIncome,,
Profit and Loss,Income,Revenue,Reimbursements,,
Profit and Loss,Income,Revenue,Subscriptions,Overage,
Profit and Loss,Income,Revenue,Subscriptions,Upgrades,
Profit and Loss,Income,Revenue,Subscriptions,,
Profit and Loss,Income,Revenue,UnappliedCash,,
Profit and Loss,Income,Revenue,Wholesale,,
Profit and Loss,Income,DiscountsReturnsAllowances,,,
Profit and Loss,Income,DiscountsReturnsAllowances,Advertising,,
Profit and Loss,Income,DiscountsReturnsAllowances,InStore,,
Profit and Loss,Income,DiscountsReturnsAllowances,Online,,
Profit and Loss,Income,DiscountsReturnsAllowances,UnappliedCash,,
Profit and Loss,Income,DiscountsReturnsAllowances,Wholesale,,
Profit and Loss,Income,NonOperating,,,
Profit and Loss,Income,NonOperating,AssetDisposals,,
Profit and Loss,Income,NonOperating,CashBackRewards,,
Profit and Loss,Income,NonOperating,Dividends,,
Profit and Loss,Income,NonOperating,ExtraordinaryItems,Grants,
Profit and Loss,Income,NonOperating,ExtraordinaryItems,,
Profit and Loss,Income,NonOperating,FxGain,,
Profit and Loss,Income,NonOperating,Interest,,
Profit and Loss,Income,NonOperating,TaxesRefundsCredits,,
Profit and Loss,Expense,,,,
Profit and Loss,Expense,CostOfSales,,,
Profit and Loss,Expense,CostOfSales,FulfillmentLogistics,Delivery,
Profit and Loss,Expense,CostOfSales,FulfillmentLogistics,Packing,
Profit and Loss,Expense,CostOfSales,FulfillmentLogistics,Returns,
Profit and Loss,Expense,CostOfSales,FulfillmentLogistics,Warehousing,
Profit and Loss,Expense,CostOfSales,FulfillmentLogistics,,
Profit and Loss,Expense,CostOfSales,Infrastructure,Hosting,
Profit and Loss,Expense,CostOfSales,Infrastructure,,
Profit and Loss,Expense,CostOfSales,Inventory,InventoryShrinkage,
Profit and Loss,Expense,CostOfSales,Inventory,Packaging,
Profit and Loss,Expense,CostOfSales,Inventory,RawMaterials,
Profit and Loss,Expense,CostOfSales,Inventory,,
Profit and Loss,Expense,CostOfSales,ManufacturingProcess,,
Profit and Loss,Expense,CostOfSales,Marketing,Direct,Digital
Profit and Loss,Expense,CostOfSales,Marketing,Direct,Physical
Profit and Loss,Expense,CostOfSales,Marketing,,
Profit and Loss,Expense,CostOfSales,MerchantFees,Chargebacks,
Profit and Loss,Expense,CostOfSales,MerchantFees,PaymentProcessingFees,
Profit and Loss,Expense,CostOfSales,MerchantFees,,
Profit and Loss,Expense,CostOfSales,Personnel,AffiliateCommissions,
Profit and Loss,Expense,CostOfSales,Personnel,EmployeeCommissionsBonuses,
Profit and Loss,Expense,CostOfSales,Personnel,SalariesWages,
Profit and Loss,Expense,CostOfSales,Personnel,,
Profit and Loss,Expense,CostOfSales,ProfessionalServices,,
Profit and Loss,Expense,CostOfSales,Royalties,,
Profit and Loss,Expense,CostOfSales,SoftwareData,Licensing,
Profit and Loss,Expense,CostOfSales,SoftwareData,,
Profit and Loss,Expense,Operating,,,
Profit and Loss,Expense,Operating,BankCharges,,
Profit and Loss,Expense,Operating,Infrastructure,Hosting,
Profit and Loss,Expense,Operating,Infrastructure,,
Profit and Loss,Expense,Operating,Leases,BuildingRentLeases,
Profit and Loss,Expense,Operating,Leases,EquipmentRentLeases,
Profit and Loss,Expense,Operating,Marketing,Direct,Digital
Profit and Loss,Expense,Operating,Marketing,Direct,Physical
Profit and Loss,Expense,Operating,Marketing,,
Profit and Loss,Expense,Operating,NonCash,Amortization,
Profit and Loss,Expense,Operating,NonCash,Depletion,
Profit and Loss,Expense,Operating,NonCash,Depreciation,
Profit and Loss,Expense,Operating,NonCash,EmployeeStockCompensation,
Profit and Loss,Expense,Operating,NonCash,RevaluationImpairment,
Profit and Loss,Expense,Operating,NonCash,,
Profit and Loss,Expense,Operating,Personnel,Consultants,
Profit and Loss,Expense,Operating,Personnel,Contractors,
Profit and Loss,Expense,Operating,Personnel,DirectorsCompensation,
Profit and Loss,Expense,Operating,Personnel,EmployeeBenefits,
Profit and Loss,Expense,Operating,Personnel,EmployeeTaxes,
Profit and Loss,Expense,Operating,Personnel,EmployeeWages,
Profit and Loss,Expense,Operating,Personnel,Pensions,
Profit and Loss,Expense,Operating,Personnel,,
Profit and Loss,Expense,Operating,Property,PropertyMaintenance,
Profit and Loss,Expense,Operating,Property,PropertyManagementFees,
Profit and Loss,Expense,Operating,ResearchDevelopment,,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Automobiles,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,BadDebtDoubtfulAccounts,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Chargebacks,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,ClientEntertainment,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,CommissionsExpense,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Distribution,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,Insurance,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,PaymentProcessingFees,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,,
Profit and Loss,Expense,Operating,SoftwareData,Licensing,
Profit and Loss,Expense,Operating,SoftwareData,,
Profit and Loss,Expense,Operating,Travel,,
Profit and Loss,Expense,Operating,Utilities,Energy,Electricity
Profit and Loss,Expense,Operating,Utilities,Energy,Gas
Profit and Loss,Expense,Operating,Utilities,Energy,
Profit and Loss,Expense,Operating,Utilities,Telecommunications,
Profit and Loss,Expense,Operating,Utilities,Water,
Profit and Loss,Expense,Operating,Utilities,,
Profit and Loss,Expense,NonOperating,,,
Profit and Loss,Expense,NonOperating,Dividends,,
Profit and Loss,Expense,NonOperating,Donations,Charity,
Profit and Loss,Expense,NonOperating,Donations,Gifts,
Profit and Loss,Expense,NonOperating,Donations,,
Profit and Loss,Expense,NonOperating,Drawings,,
Profit and Loss,Expense,NonOperating,ExtraordinaryItems,LegalSettlements,
Profit and Loss,Expense,NonOperating,ExtraordinaryItems,,
Profit and Loss,Expense,NonOperating,FxLoss,,
Profit and Loss,Expense,NonOperating,Interest,CreditCardInterestPaid,
Profit and Loss,Expense,NonOperating,Interest,LoanInterestPaid,
Profit and Loss,Expense,NonOperating,Interest,,
Profit and Loss,Expense,NonOperating,Penalties,,
Profit and Loss,Expense,NonOperating,Restructuring,,
Profit and Loss,Expense,NonOperating,Taxes,CorporationTaxes,
Profit and Loss,Expense,NonOperating,Taxes,IncomeTaxes,
Profit and Loss,Expense,NonOperating,Taxes,SalesTaxes,
Profit and Loss,Expense,NonOperating,Taxes,ValueAddedTaxes,
Profit and Loss,Expense,NonOperating,Taxes,,
Profit and Loss,Expense,CostOfSales,Marketing,Direct,
Profit and Loss,Expense,CostOfSales,Marketing,Indirect,
Profit and Loss,Expense,CostOfSales,Marketing,Indirect,Digital
Profit and Loss,Expense,CostOfSales,Marketing,Indirect,Physical
Profit and Loss,Expense,Operating,Marketing,Direct,
Profit and Loss,Expense,Operating,Marketing,Indirect,Digital
Profit and Loss,Expense,Operating,Marketing,Indirect,Physical
Profit and Loss,Expense,Operating,Marketing,Indirect,
Profit and Loss,Expense,Operating,SalesGeneralAdministrative,ProfessionalServices,
Profit and Loss,Expense,Operating,Property,,
Profit and Loss,Expense,Operating,Leases,,
Profit and Loss,Expense,CostOfSales,Infrastructure,Infrastructure,
Balance Sheet,Asset,,,,
Balance Sheet,Asset,Current,,,
Balance Sheet,Asset,Current,AccruedDeferredAssets,AccruedRevenue,
Balance Sheet,Asset,Current,AccruedDeferredAssets,DeferredExpenses,
Balance Sheet,Asset,Current,AccruedDeferredAssets,PrepaidExpenses,
Balance Sheet,Asset,Current,AccruedDeferredAssets,,
Balance Sheet,Asset,Current,AllowanceDoubtfulAccounts,,
Balance Sheet,Asset,Current,Bank,BankTransfers,IntracompanyTransfers
Balance Sheet,Asset,Current,Bank,BankTransfers,RelatedPartyTransfers
Balance Sheet,Asset,Current,Bank,BankTransfers,ShareholderTransfers
Balance Sheet,Asset,Current,Bank,BankTransfers,
Balance Sheet,Asset,Current,Bank,Clearing,
Balance Sheet,Asset,Current,Bank,,
Balance Sheet,Asset,Current,CashEquivalents,Cryptocurrency,
Balance Sheet,Asset,Current,CashEquivalents,,
Balance Sheet,Asset,Current,Inventory,Obsolete,
Balance Sheet,Asset,Current,Inventory,FinishedGoods,
Balance Sheet,Asset,Current,Inventory,Merchandise,
Balance Sheet,Asset,Current,Inventory,RawMaterials,
Balance Sheet,Asset,Current,Inventory,WorkInProcess,
Balance Sheet,Asset,Current,Inventory,,
Balance Sheet,Asset,Current,Investments,,
Balance Sheet,Asset,Current,Receivables,AccountsReceivable,
Balance Sheet,Asset,Current,Receivables,NotesLoansReceivable,
Balance Sheet,Asset,Current,RelatedParties,EmployeeLoans,
Balance Sheet,Asset,Current,RelatedParties,IntercompanyReceivable,
Balance Sheet,Asset,Current,RelatedParties,ShareholderLoans,DirectorsLoans
Balance Sheet,Asset,Current,RelatedParties,ShareholderLoans,
Balance Sheet,Asset,Current,RestrictedFunds,ClientFunds,
